Model,Make (Organization)
TD-3128 Blood Pressure Monitor,TaiDoc
TD-3140 Blood Pressure Monitor,TaiDoc
TD-3223 Blood Pressure Monitor,TaiDoc
TD-3261 Blood Pressure Monitor,TaiDoc
TD-8201 Pulse Oximeter,TaiDoc
TD-8255 Pulse Oximeter,TaiDoc
TED,4SEC SRL
Tego,Vitls
TegoSens RF,TegoSens
TeleABP,Biomedical Instruments
TeleMyo 2400T G2,Noraxon
TeleMyo DTS,Noraxon
telling.ai,DeepConvo Inc.
Temec Activity Monitor (Model Unspecified),Temec Technologies
Temp,Cosinuss
Temp Pal,iWeeCare
TempDrop,TempDrop
Tempo (Previous Series),CarePredict
Tempo Insole,BeBop Sensors
Tempo Series 3,CarePredict
TempTouch,MR3 Health
TempTraq (TT-100),"TempTraq,Blue Spark Technologies"
Tempur-Pedic Sleeptracker ,Tempur-Pedic
Tenor,CardioRenal
TENZR,BioInteractive Technologies
Terra Platform,Terra
Teslasuit,Teslasuit
Test N'Go Advance Voice,Foracare
The Left Device,Side Sleep Technologies
Theia AdaptDx Pro,LumiThera
Thermaband Zone,Thermaband
Thermo,Withings
Thermochron iButton,iButtonLink
ThermoScan 7 (IRT6520),Braun Healthcare
ThermoSensor,Cadi Scientific
Thim,Re-Time
THINC-IT,Lundbeck
THREAD Platform,THREAD Research
Three-Dimensional Pose Tracker (TDPT) App,Digital Standard Co.
Thryve Platform,Thryve
Thymia,Thymia
TICKR Fit,Wahoo Fitness
TICKR Heart Rate Monitor,Wahoo Fitness
TICKRx Heart Rate Monitor,Wahoo Fitness
TicWatch C2,Mobvoi
TicWatch C2+,Mobvoi
TicWatch E,Mobvoi
TicWatch E2,Mobvoi
TicWatch Pro,Mobvoi
TicWatch Pro 4G/LTE,Mobvoi
TicWatch S2,Mobvoi
Tidda AI,Zana Technologies
Tidda Gen 1,Zana Technologies
Tile Mate,Tile
Time2Feel,University of Guelph
TimerCap,TimerCap
TipTraq,PranaQ
Tissue Analytics,Tissue Analytics
TM-2011,Xiamen Ants Bros Technology Company
TM-2425 ,A&D
TM-2430 Ambulatory Blood Pressure Monitor,A&D
TM-2431 Ambulatory Blood Pressure Monitor,A&D
TM-2440 Ambulatory Blood Pressure Monitor,A&D
TM-2441 Ambulatory Blood Pressure Monitors,A&D
TM1,Clinicai
TMT250 ,Teltonika Telemedic
Tobii Eye Tracker 4C,Tobii
Tobii EyeX,Tobii
Tobii Glasses (Model Unspecified),Tobii
"Tobii Pro Eye Tracking Systems (Nano, Fusion and Spectrum)",Bitbrain
Tobii Pro Glasses 2,Imotions
Tobii Pro Glasses 3,Imotions
Tobii Pro X2-60,Tobii
Tobii Pro X3-120,Tobii
Toddler CareTracker,Littlebird Connected Care
TOHRC Walk Test,The Ottowa Hospital
Tono-Pen AVIA,AMETEK Reichert
Tono-Pen XL,AMETEK Reichert
Tonoport V,PAR Medizintechnik
TopEye,Escola Cearense de Oftalmologia
TotalCare,Athelas
Touch,TomTom
TouchCare Nano CGM,Medtrum Technologies
TouchCare system,DNX
TR10,Everlast
Track Connected Blood Pressure Monitor (550BT),iHealth
Tracker Freedom,JTECH Medical
Trackit Mk3,Lifelines Neuro
TrackIt T4A,Lifelines Neuro
TrackSight,NovaSight
Tractivity,Kineteks
TrainingPeaks App,Peaksware
Transdermal Analysis Patch,FibroTx
Transtek Band 2 ,Transtek Medical
Transtek Band 3 ,Transtek Medical
Transtek Band 3s,Transtek Medical
Transtek Band M5S,Transtek Medical
Transtek Mambo 6,Transtek Medical
Traverse Alpha Watch,Suunto
Traverse Watch,Suunto
TReaction,ETS4ME
Tremoflo C-100,Thorasys
Triage-On-Demand (TOD) Biosensor,Five Vital Signs
TrichoLAB,FotoFinder
Trichoscale Pro,FotoFinder
Triggerfish,SENSIMED
Trigno,Delsys
Trigno Avanti Sensor,Delsys
TrikoScope,MetaOptima
TRIP-Patch,St. Antonius Hospital
TRUE METRIX AIR Glucose Meter,"Trividia Health,Nipro Medical Corporation (now Trividia Health)"
TRUE METRIX Glucose  Meter,"Trividia Health,Nipro Medical Corporation (now Trividia Health)"
TRUEresult Glucose  Meter,"Trividia Health,Nipro Medical Corporation (now Trividia Health)"
TRUEtrack Glucose Meter,"Trividia Health,Nipro Medical Corporation (now Trividia Health)"
TruO2 3245,Nonin Medical
Trust-M,Neurocor
TSND 121,ATR Promotions
TSND151,ATR Promotions
Tula Health,Tula Health
Two,Cosinuss
Two-in-One Thermometer,Indie Health
Type of Mood App,i-PROGNOSIS
TytoHome,TytoCare
U-Scan,Withings
UAM-900T,Zewa
UAM-910BT,Zewa
UBand,Know Labs
UbiHealth,Altratech
uBox,Abiogenix
Ubreath PF280,e-LinkCare
Ubreath Pro PF680,e-LinkCare
uCap,Abiogenix
uHear,Unitron
uHoo Smart Air Monitor,uHoo
Ultima Glucose Meter,ReliOn
Ultium EMG,Noraxon
Ultra,Fitbit
Ultra,ActoFit
ULTRACONNECT Premium Wireless Blood Pressure Monitor (UA-1200CNBLE),A&D
UltraConnect Premium Wireless Wrist Blood Pressure Monitor (UB-1100BLE),A&D
Ultracortex Mark IV EEG Headset,OpenBCI
Ultrahuman M1,Ultrahuman
Ultrahuman Ring,Ultrahuman
Umana T1,Umana Medical Technologies
UMindSleep,EEGSmart
uMore,uMore
Under Armour Band,Under Armour
Unite,Polar
UP,Jawbone
UP 2,Jawbone
UP 3,Jawbone
UP 4,Jawbone
UP 24,Jawbone
UP Move,Jawbone
Upmood Band,Taison Digital
Upmood Watch UP-A03,Taison Digital
Uptivo,Uptivo
UrApp,Emory University
Urban HR (PWB-600S),Partron
URBAN S Plus (PWB-250 and PWB-260),Partron
Urban Yogi,Urban Health
Urbane,LG Electronics
Urbane 2nd Edition,LG Electronics
URGOnight,Urgotech
US2.AI,Us2.ai
uSev,Abiogenix
UV Dosimeter,Scienterra
UW-204NFC,A&D
UW-302BLE,A&D
v.Cure,St. Johns National Academy of Health Sciences
V3,FitPro
V120:Trio,OptiTrack
V800 GPS Heart Rate Monitor,Polar
V990 GPS Data Logger,Columbus
Vagus ECG Watch,Vagus Health
Valedo,Hocoma AG
Vantage M,Polar
Vantage M2,Polar
Vantage M3,Polar
Vantage V/Vantage V Titan,Polar
Vantage V2,Polar
VapoMeter,Delfin Technologies
Vapor,"Fossil,Misfit (now Fossil)"
Vapor 2,"Fossil,Misfit (now Fossil)"
Vapor X,"Fossil,Misfit (now Fossil)"
Varjo VR-1,Varjo
VascTrac,Stanford University
Vayyar 4D Imaging Radar,Vayyar
VDSuit Full,Virdyn
Vector Watch,Suunto
Vectra H1,Canfield Scientific
Veepoo RIG,Veepoo
Vega GPS Watch,Everon
Venu,Garmin
Venu 2,Garmin
Venu 2 Plus,Garmin
Venu Sq,Garmin
VEOS App,Canfield Scientific
VEOS DS3,Canfield Scientific
VEOS HD1,Canfield Scientific
Verana Vision Test App,Verana Health
Verily Patch,Verily
Verisense IMU Sensor,Verisense Health
Verisense Pulse+,Verisense Health
Verisense Step Count Algorithm for GGIR,Shimmer Sensing
Verity Sense,Polar
Versa,Fitbit
Versa 2,Fitbit
Versa 3,Fitbit
Versa 4,Fitbit
Versa Lite Edition,Fitbit
Versa Special Edition,Fitbit
Versatile Bio,Bitbrain
Versatile EEG,Bitbrain
VestAid,BlueHalo
VF3,Virtual Field
VF3 Pro,Virtual Field
VF2000 Focus,Micro Medical Devices
Vibe,Accuro
VibeRise,PAQ Wear
Vibration,Diffraction Limited Design
VibroBP,Billion Labs
ViCardio,ViCardio
Vicks Comfort Flex,Vicks
Vicorder,80 Beats Medical
View Wireless Wrist Monitor (BP7S),iHealth
ViewMind,ViewMind
ViFit,Medisana
Vigo,Vigo Technologies
Vigo SmartHeart,Vigocare
Vigo Vitals,Vigocare
ViHealth,Viatom
ViMove,dorsaVi
VinCense,MedioTek
Vincere ,Vincere Health
Violet Plus,Ultra
Vios Monitoring System,Murata Vios
ViPcare,Gadgle
ViPerform,dorsaVi
viQtor,smartQare
VIRA,Ksana Health
Virtual Vision,Virtual Vision Health
Virufy,Virufy
ViSafe,dorsaVi
Visensia,OBS Medical
ViSi Mobile,Sotera Wireless
Visibly Digital Acuity Product,Visibly
VisioCheck,BewellConnect
Visiomed D200evo Dermatoscope,Canfield Scientific
Visioscan VC98,Courage + Khazaka Electronic
visoScope,oDocs Eye Care
Vista Body Analysis ScaleVista (HS5S),iHealth
Vistaview,Volk Optical
Visual Acuity Charts App,Fonlow
VisualBeat Heart Rate Monitor,Wellue
VisualDx,VisualDx
VisuALL,Olleyes
Visuhealth AI ,Zeiss
Visuscout 100,Zeiss
Vital Signs Monitoring (VSM) Study Watch,Analog Devices
Vitalbeat,Aventyn
VitalFlo Spirometer,VitalFlo
VITALITI,Cloud DX
VitalJacket Holter,BioDevices
Vitalograph Spirometer (Model Unspecified),Vitalograph
VitaloJAK,Vitalograph
VitalPatch,VitalConnect
VitalSense,Philips
VitalSpex Biosensing Platform,Rockley Photonics
VitalsRX,Bodi Metrics
VitalWellness,"Wellvii,Vital USA (now Wellvii)"
VitaMove,2M Engineering
Vitemp,Vitio
ViTrack,Dynocardia
Viture,Vitio
Vivago MOVE,Vivago
Vivalink Axillary Temperature Sensor (Fever Scout),VivaLINK
Vivalink ECG patch (Vital Scout),VivaLINK
Vivalink Wearable Blood Pressure Cuff,VivaLINK
Vivatmo me,Bosch
Vivatmo Pro,Bosch
VIVE (Series Unspecified),HTC
Vive Pro Eye,HTC VIVE
Vivid Vision Perimetry (VVP),Vivid Vision
Vivify Health Platform,Vivify Health
Vivo (Series Unspecified),Garmin
Vivoactive,Garmin
Vivoactive 3,Garmin
Vivoactive 4 / 4S,Garmin
Vivoactive 5,Garmin
Vivoactive HR,Garmin
Vivofit,Garmin
Vivofit 2,Garmin
Vivofit 3,Garmin
Vivofit 4,Garmin
Vivofit Jr.,Garmin
Vivoki,Garmin
Vivomove,Garmin
Vivomove HR,Garmin
Vivoo,Vivoo
VivoSense Software,VivoSense
Vivosmart,Garmin
Vivosmart 3,Garmin
Vivosmart 4,Garmin
Vivosmart 5,Garmin
Vivosmart HR,Garmin
Vivosmart HR+,Garmin
Vivosport,Garmin
VivoWatch 5,ASUS
VivoWatch BP,ASUS
VivoWatch SP,ASUS
Vmaxpro (now Enode),Enode
VMG 8,Virtual Motion Labs
VMG 13,Virtual Motion Labs
VMG 30,Virtual Motion Labs
VMG 35 Haptic,Virtual Motion Labs
VMG PS,Virtual Motion Labs
VO2 Master Analyzer,VO2 Master
VocalisTrack,Vocalis Health
VOICEBOX,Imperial College London
VoqX,Sanolla
Vpatch Cardio System,Vpatch Cardio
VR One Plus,Zeiss
VRFree,Sensoryx
Vscan,GE  Healthcare
Vscan Air,GE  Healthcare
Vscan Extend R2 with Dual Probe,GE  Healthcare
Vscan Extend R2 with Sector Probe,GE  Healthcare
VSTAlert,Virtusense
VSTBalance,Virtusense
VSTOne,Virtusense
VT-Patch,VitalTracer
VT-Watch,VitalTracer
VU-AMS 5fs,Vrije Universiteit Amsterdam (VU Amsterdam)
W180,Fitfaith
W310B Scale,Foracare
Wacom Pen Tablet (Model Unspecified),Wacom
wActiSleep-BT,ActiGraph
wActiSleep+,ActiGraph
Wahoo Fitness Heart Rate Monitor (Unspecified) ,Wahoo Fitness
WAHTS,Edare
Walking FIT EKG Accurate Heart Rate Watch,Salutron
Walking Style II (HJ-113-E),Omron Healthcare
Walking Style III (HJ-203),Omron Healthcare
Walking Style IV (HJ-325-EBK),Omron Healthcare
Walking Style One (HJ-152R-E),Omron Healthcare
Walking Style Pro (HJ-720IT-E2),Omron Healthcare
Walking Style Pro (HJ-720IT),Omron Healthcare
Walking Style Pro 2.0 (HJ322U-E),Omron Healthcare
Walking Style X,Omron Healthcare
Walkmeter,Abvio
WalkOn,Swallaby
WalkWise,WalkWise
Warrior Watch App,Mount Sinai
Watch BP A6,Microlife
Watch BP O3,Microlife
Watch Buds,Huawei Technologies
Watch D,Huawei Technologies
Watch GT,Huawei Technologies
Watch GT2,Huawei Technologies
Watch R,LG Electronics
Watch S1 Active,Xiaomi
Watch Style,LG Electronics
Watch-PD App,Clinical Ink
Watch4 Classic,Samsung
WatchBP (Model Unspecified),Microlife
WatchBP Home,Microlife
WatchBP Office,Microlife
WatchPAT (Series Unspecified),Itamar Medical
WatchPat 200,Itamar Medical
WatchPAT 300,Itamar Medical
WatchPat One,Itamar Medical
Wave (AM4),iHealth
Wave O2,Riversong Technology
Wavelet,"Biostrap,Wavelet Health"
WavelyDx,Wavely Diagnostics
WaveTrack IMU,Cometa Systems
WAVi,WAVi
WAX9,Axivity
Wearable Health Monitoring System,Current Health
Wearable SpO2 Monitor,VivaLINK
Wearable Wellness System,Smartex
Wearifi,Wearifi
WearLink,Polar
WearME,LASARRUS
WebCardio Vital Patch,WebCardio
Weight Scale,Athelas
Weight Scale (72-HB151),Remedy
Weight Scale (Model 51-102),Indie Health
WeightWatchers App,Weightwatchers
Welch Allyn Blood Pressure Monitor (Model Unspecified),Welch Allyn
WellBe Bracelet,WellBe
Wellinks,Wellinks
Wellograph Watch,Wellograph
Wellspace Wellbeing Application,Wellspace
Wellue KidsO2,Wellue
Wellvii,Wellvii
WELT belt,WELT Corp
WeRun,Tencent
Wesper,Wesper
wEvent,"Philips,BioTelemetry"
wGT3X-BT,ActiGraph
wGT3X+,ActiGraph
WheezeScan (HWZ-1000T-E),Omron Healthcare
Wheezo,Respiri
Whoop (Model Unspecified),Whoop
Whoop 3.0,Whoop
Whoop 4.0,Whoop
Whoop Strap 2.0,Whoop
WiFi Blood Pressure Monitor (BP800),BlipCare
Wii,Nintendo
Wii Balance Board,Nintendo
Willem,Idoven
Willful Smartwatch (Model Unspecified) ,Willful
Wing,Sparo
wiNIREM,Ohmatex ApS
Winterlight Speech Assessment,"Cambridge Cognition,Winterlight Labs (now Cambridge Cognition)"
Wireless Scale (HS3),iHealth
Wireless Scale (WS-30),Withings
Wireless Vital Signs Monitoring (WVSM),AthenaGTX
Wireless Weight Scale (UC-352BLE) ,A&D
Wisepill (Model Unspecified),Wisepill
Wit-Motion Gyroscope,Wit-Motion
Withings Blood Pressure Monitor (Model Unspecified),Withings
Withings Go,Withings
Withings Health,Withings
Withings Sleep,Withings
Withings Smart Scale (Model Unspecified),Withings
Withings Smartwatch Activity Monitor (Model Unspecified),Withings
"WiTscale
  S200 Weight Scale",Wittech
WorkTime Corporate,Nestersoft Inc
WR19 Wireless EEG Headset,Zeto
Wrist Blood Pressure Monitor,Bodi Metrics
Wrist-Based Health Sensor Platform,Analog Devices
Wristband Beacony,Global Tag
WristOx2 3150,Nonin Medical
WristOx2 Model 3150 with USB,Nonin Medical
Wulira,Tech Guruz Uganda Limited
Wurq,Wurq
Wynd Air Quality Tracker,Wynd
X-Halo,Delmedica Investments
X1A,Xeek Medical
X2,"Prevent Biometrics,X2Biosystems (now Prevent Biometrics)"
X4 Smart (HEM-7155T-ESL) / M4 Intelli IT (HEM-7155T-EBK),Omron Healthcare
X6-1a,Gulf Coast Data Concepts
X6-2Mini,Gulf Coast Data Concepts
X9i GPS Watch,Suunto
X10 Watch,Suunto
X10X (Model Unspecified),L.I.F.E.
X10X (R1 Healer),L.I.F.E.
X10X (R2 Healer),L.I.F.E.
X10Y (R1 Healer),L.I.F.E.
X10Y (R2 Healer),L.I.F.E.
X16-mini,Gulf Coast Data Concepts
Xaliva,RICOVR Healthcare
xDrip+,Nightscout Foundation
XeThru X2,Novelda
XeThru X4,Novelda
XeThru X7,Novelda
Xiaomi 12,Xiaomi
Xiaomi Smart Scale (Model Unspecified),Xiaomi
Xiaomi Smartphone (Model Unspecified),Xiaomi
Xiaomi Watch/Band (Model Unspecified),Xiaomi
XK300-VSA,Xandar Kardian
XL-25ant,A&D
XPatch,X2Biosystems (now Prevent Biometrics)
Xperia,Sony
Xperia Z5 501SO,Sony
XPod 3012 LP,Nonin Medical
XPREZZON,Spacelabs Healthcare
Xsens Dot,"Movella,Xsens (now Movella)"
Xsens Gloves,"Movella,Xsens (now Movella)"
Xsens IMU (Model Unspecified),"Movella,Xsens (now Movella)"
Xsens Metagloves by Manus,Movella
Xsense Analyze,Movella
Yamax Digi Walker (Series Unspecified),Yamax
Yamax Power Walker (Series Unspecified),Yamax
YASA,"""University of California, Berkeley"""
YETI,221e
YofiMeter,YofiMeter
Yogger,Yogger
YogiFi Smart Ring,Wellnesys
Yost Labs IMU (Model Unspecified),Yost Labs
Z3-Score HRV Algorithm,Neurobit Inc
Z3Score,Neurobit Inc
Zacurate Pulse Oximeter (multiple models),Zacurate
Zamzee,Zamzee
Zansors Sleep Apnea,Zansors
Zed 2,Stereolabs
ZED 2i,Stereolabs
Zeeq Pillow,Rem-fit
ZeFit4,MyKronoz
ZEISS PLEX Elite 9000,Zeiss
Zeit,Zeit Medical
Zenicor-ECG,Zenicor
Zeno Walkway,ProtoKinetics
ZenWatch (1st generation),ASUS
ZenWatch 2 (WI501Q),ASUS
ZenWatch 3 (WI503Q),ASUS
ZepHr,Diversatek Healthcare
Zephyr BioModule,"Medtronic,Zephyr (now Medtronic)"
Zephyrx,Zephyrx
Zepp E Circle,Zepp Health
Zepp E Square,Zepp Health
Zepp Z,Zepp Health
ZeroWire/Wave EMG,Cometa Systems
Zio AT,iRhythm
Zio Next Gen,Zio
Zio Patch (Model Unspecified),iRhythm
Zio Watch,iRhythm
Zio XT,iRhythm
Zip,Fitbit
Zmachine Insight,General Sleep
ZOLL Heart Failure Management System (previously µCor),Zoll Medical Corporation
Zoom HRV,Lifetrak
Zoundream,Zoundream
Zulu Smartwatch,AlphaGear
ZurichMOVE,ZurichMOVE
Zwift RunPod,Zwift
Zzz-Logger,Ambulatory Monitoring
zzzPAT,Itamar Medical
